本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
1,3,0.459425,0.165121,0.463514,1.890537,2.128709,0.008559,13.91,0.359068,-0.155486,0.162639,0.293248,1.009111,3.657
1,5,0.813932,0.540911,0.618675,15.024629,1.379461,-0.084923,21.65,0.027206,-1.041689,0.123894,0.181111,2.090907,4.456
1,3,0.769527,0.056643,0.867113,6.584288,1.096573,-0.2064,14.57,0.10611,-0.510788,0.397699,0.494639,0.357992,3.188
0,0,0.78505,0.564305,0.816277,2.562398,1.096573,-0.630246,21.75,-0.00027,0.11643,1.009535,2.002962,1.476572,3.391
1,1,0.739688,0.207728,0.758956,4.30913,1.096573,-1.341853,27.39,0.040245,0.095673,0.765944,0.913194,1.898678,4.544
0,0,0.751984,0.880418,1.140606,0.153834,2.180203,-1.348487,16.2,0.057742,0.050963,0.434069,1.733913,0.742691,3.696
1,1,0.462818,0.168852,0.499577,0.951023,1.00504,0.217484,33.21,0.608566,0.294119,0.249442,0.324742,2.252098,1.516
0,0,0.534554,0.357814,0.581846,0.368085,1.096573,-0.308314,39.04,-0.185545,0.000324,0.132491,0.269649,0.381118,4.617
1,2,0.806729,0.499983,0.825311,0.956613,1.096573,-0.259176,68.49,-0.067448,0.015811,0.012139,0.01631,0.243958,3.145
1,2,0.588872,0.499241,0.552304,0.723838,7.904196,0.192403,21.67,0.089995,0.167084,0.058326,0.586126,0.2425,5.072
1,1,0.705036,0.257181,0.610534,2.612064,1.903028,-0.412046,36.1,0.082991,0.057683,0.468233,0.608752,1.46561,3.622
1,1,0.811438,0.364503,0.891487,1.991373,2.308662,-0.001685,44.22,0.020347,0.023756,1.007603,1.190092,1.38483,4.073
1,1,0.650817,0.468916,0.641049,1.842726,2.298519,-0.506403,8.26,0.05105,0.06383,0.297304,1.167286,0.785522,2.569
1,14,0.94591,0.655793,1.037507,6.017453,1.096573,-0.382898,33.04,-0.85185,-0.208662,0.306608,0.734201,-0.406897,4.403
1,4,0.08764,0.03681,0.171624,1.547529,0.942484,0.055822,43.08,0.004436,0.554617,0.219355,0.829728,4.314484,5.187
1,2,0.937497,0.388795,0.936048,9.327987,1.096573,-0.161912,29.99,-0.804696,-1.036821,0.241774,0.450721,-0.945937,4.311
1,5,0.558631,0.347323,0.573978,0.560238,1.096573,0.013592,15.97,-0.138805,-0.005352,0.108728,0.205613,0.273613,4.902
1,1,0.04913,0.002633,0.022693,2.655454,1.03701,0.078385,22.56,1.092702,0.347967,0.011483,0.013366,40.056866,2.95
1,2,0.938974,0.695635,0.9711,162.885154,1.096573,0.087387,17.08,-0.006038,-0.121078,0.62704,2.090794,0.400953,3.647
1,5,0.446472,0.491179,0.693474,1.839633,1.728028,-0.078089,30.27,0.072321,0.10173,0.100932,1.232153,1.711547,4.348
1,2,0.175108,0.001076,0.145222,6.23767,1.096573,-0.020361,22.65,-0.36375,-0.123721,0.06365,0.115711,25.170873,4.41
0,0,0.450488,0.006615,1.763388,2.441683,0.792351,0.009153,24.13,-1.988296,-4.310878,0.183804,0.235386,5.610766,3.156
1,2,1.956558,0.336135,0.794659,2.214909,1.096573,-0.537555,31.04,-0.033492,-1.39346,0.97523,1.523201,-5.805121,4.069
1,7,0.64406,0.489379,0.714931,1.197997,7.200047,-0.087204,45.1,-0.109812,0.127908,0.348443,0.719956,0.760584,4.21
1,3,0.610891,0.338488,0.69878,2.942811,4.008507,-0.060409,17.37,0.006293,-0.014413,0.604522,0.781304,1.897648,4.964
0,0,0.53347,0.427768,0.595734,4.724786,1.081655,0.155869,42.28,0.218587,0.187574,0.259935,0.681088,4.406666,4.363
1,2,0.54102,0.533445,0.68286,1.187325,1.430856,0.013374,14.09,-0.780921,-0.483601,0.180789,0.880559,0.18079,4.025
0,0,0.37427,0.19689,0.327969,1.289067,2.699427,-0.055621,34.26,0.009463,0.305532,0.635139,1.440217,2.756687,5.606
0,0,0.460148,0.326458,0.507863,1.419212,0.016906,-0.121107,32.45,0.083482,0.227889,0.884321,1.995669,2.209949,3.956
1,3,0.436977,0.377522,0.472163,2.722434,1.096573,0.100835,29.9,0.214743,-0.06591,0.06465,0.207755,2.32937,5.347
