资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,上年度违规,上年度违规次数,风险值
0.748163,0.483346,0.70334,1.172469,1.825273,0.151074,23.4128,0.10616,-0.522618,0.60615,2.424267,-0.600876,1,1,2.728
0.882462,0.289966,0.833373,0.806503,1.204819,0.253781,16.31,0.118818,0.024755,0.118699,0.139247,0.241083,1,1,2.309
0.95379,0.628496,1.124596,2.666597,1.052371,-0.000554,15.29,0.001382,-1.877998,0.128785,0.201439,-2.031138,1,5,2.825
0.25002,0.122096,0.422507,1.941557,1.14617,-0.042662,29.11,-0.286107,-0.200525,1.117715,1.865404,5.714256,1,2,2.425
0.562697,0.212043,0.659298,1.519695,1.178248,0.263832,24.26,0.021486,0.120233,0.852379,1.153334,1.820109,1,1,2.33
0.348293,0.264743,0.487887,0.922066,1.136052,0.099869,30.56,0.097595,0.382055,0.463008,1.435852,3.410743,0,0,0.138
0.766784,0,0.761746,1.186199,1.052371,0.358201,30.81,0.104081,0.091362,0.064045,0.913433,3.337317,0,0,0.257
5.90607,1.557248,2.788342,2.666597,1.052371,-0.010205,29.46,-3.095515,-9.341524,0.081411,0.195652,-22.75302,1,9,2.574
0.451402,0.382489,0.72113,4.056824,0.991356,-0.262871,40.99,0.291566,0.290793,0.312625,4.188017,4.587962,1,2,2.624
0.43223,0.351327,0.449891,1.463032,1.30592,-0.114233,16,0.407999,0.307525,0.47823,1.383287,2.191164,1,2,2.243
0.490284,0.202483,0.418494,3.615931,1.052371,-0.119584,25,-0.036277,0.006849,0.484668,0.972763,3.169769,1,2,2.486
0.722761,0.403876,0.677844,1.55978,1.302771,0.180034,37.85,0.044436,0.098475,0.888527,1.664564,1.363665,1,5,2.505
0.749848,0.436402,0.735315,0.429262,3.152377,0.241462,39.73,0.023752,0.074347,0.614685,2.050989,0.568486,0,0,0.054
0.870654,0.329201,0.848425,1.195173,1.052371,-0.034726,16.68,-1.120314,-0.466242,0.082053,0.132031,-0.871502,1,3,2.605
0.748628,0.043685,0.804493,3.963706,1.052371,-1.745455,27.9,0.104081,0.066215,0.029126,0.913433,3.337317,1,3,2.475
0.477292,0.418054,0.567504,0.850739,2.968215,0.117351,30.64,0.014864,0.05971,0.789603,1.900447,1.536528,1,1,2.916
0.468118,0.139059,0.549689,1.186632,1.015907,0.548456,53.05,0.074153,0.260447,2.208388,8.013271,3.507201,0,0,0.061
0.514204,0.226571,0.5942,2.872781,1.059332,-0.07244,47.48,0.182978,0.236513,0.723952,3.2566,3.845642,1,1,2.45
0.718092,0.023185,0.686509,1.078776,1.052371,-0.750944,21.48,0.104081,0.063103,0.04211,0.913433,3.337317,1,4,2.112
0.932484,0.428009,0.921986,0.533415,1.052371,-0.11783,45.78,-0.895718,0.000631,0.022413,0.028609,0.15933,1,10,2.554
0.873587,0.503083,0.879548,1.552911,2.893858,-5.441963,53.32,0.126794,0.017492,0.102439,0.110652,0.652232,0,0,0.284
0.746683,0.000127,0.758995,1.30778,1.052371,-0.185655,22.49,0.104081,0.03103,0.044848,0.913433,3.337317,1,1,2.537
0.595027,0.040318,0.622839,26.530157,2.372897,-0.047637,12.74,0.198666,-0.277852,0.432063,0.698589,1.795061,1,4,2.544
0.554778,0.46824,0.667183,2.206174,0.529077,1.173262,33.75,-0.037475,0.114378,0.343942,0.716125,1.408393,0,0,0.076
0.58173,0.359185,0.667753,0.5712,1.173202,-1.131649,58.65,0.022852,0.07566,1.412805,3.210941,2.142529,0,0,0.142
0.09827,0.066249,0.11543,3.86052,0.989214,0.180075,19.93,-0.012427,0.016118,0.223642,0.52499,59.531586,0,0,0.181
0.793225,0.0048,0.792611,1.190193,1.052371,1.369972,22.31,0.104081,0.086008,0.04813,0.913433,3.337317,1,6,2.437
0.528948,0.261962,0.561253,1.232273,1.21392,-0.397,27.83,0.04322,0.107085,1.052824,1.837664,2.568118,1,5,3.04
0.806003,0,0.795078,1.313787,1.052371,0.189683,14.89,0.104081,0.055094,0.044481,0.913433,3.337317,1,1,2.385
0.265219,0.109407,0.278736,4.252684,1.030782,0.150526,37.83,0.258291,0.542872,0.793475,2.298469,7.357198,0,0,0.208
0.474827,0.11542,0.43895,2.885108,1.095046,-0.033277,28.58,0.033855,0.214454,0.88017,1.030668,3.818039,1,1,2.509
0.538919,0.494507,0.735359,18.839052,1.059792,0.231524,13.86,0.29873,-1.4489,0.584878,1.192816,8.059064,0,0,0.429
0.492454,0.566856,0.638389,1.586344,1.052371,0.072913,7.12,-0.760684,-0.449879,0.155836,0.458232,0.879442,0,0,0.216
0.436169,0.155517,0.411821,2.49746,0.959712,-0.045996,39.48,0.030631,0.078022,0.839729,1.089979,4.449834,0,0,0.16
0.869876,0.415463,0.778653,9.310134,1.052371,-0.250383,22.22,-0.476202,-0.127172,0.273895,0.649417,0.373999,0,0,0.361
0.577002,0.020177,0.7601,2.31407,1.052371,0.997954,15.6,0.104081,-0.608345,0.079457,0.130728,0.169315,1,5,2.45
1.52222,0.504117,1.031194,39.79109,1.888548,-0.036166,23.8,0.097478,-1.789048,0.66264,1.019037,-2.951447,1,6,2.632
0.447359,0.41755,0.695527,2.417779,1.159855,0.360796,32,0.064791,0.104335,1.101268,7.773315,2.678681,0,0,0.107
0.3386,0.253973,0.332728,0.520455,1.052371,-0.053881,34.29,-0.249273,0.466971,0.025928,0.027243,2.698917,1,1,2.521
0.053314,0.00536,0.075114,0.6535,0.84141,-0.034135,20,0.610788,0.678133,0.127116,0.206155,19.310978,1,3,2.392
0.200164,0.020762,0.122813,2.253145,1.613075,-0.056906,23.46,0.041169,0.411702,1.644481,3.719891,16.680939,0,0,0.072
0.569606,98.542295,208.287751,2.666597,0.997825,-0.000775,37.44,0.104081,-1.552377,0.380187,0.733937,22.147631,1,6,2.592
0.618869,0.132631,0.70854,1.570248,1.085206,-0.305615,11.39,0.027828,0.045787,0.521145,0.666079,1.84177,1,2,2.485
0.474259,0.28254,0.512456,0.747249,1.057148,0.41719,63.31,0.053358,0.338444,1.500566,4.72853,2.944311,0,0,0.176
0.651761,0.575311,0.871934,0.73316,1.052371,0.160501,16.56,-0.194996,-0.033898,0.25871,0.711012,-0.046237,1,2,2.337
0.855562,0.339149,0.979257,2.365428,5.268408,-1.112698,19.03,0.002287,0.069739,3.869732,5.130424,4.793212,0,0,0.127
9.428713,3.169628,5.214348,2.666597,1.052371,0.00165,14.12,-3.183328,0.1937825,0.019319,0.139224,-39.2947,1,3,2.697
0.318178,0.019769,0.236098,2.977599,0.969199,0.111782,40.68,0.457203,0.408905,0.719403,0.848875,8.891918,1,2,2.485
0.488021,0.233008,0.688535,1.624587,16.34365,-0.226875,13.06,-0.008964,0.043527,0.871435,1.245514,2.113759,1,2,2.339
0.688754,0.516063,0.630478,1.282657,2.095059,-0.001793,41.73,0.090467,0.017548,0.121985,0.349001,0.721338,1,3,2.496
0.449812,0.385796,0.471242,0.663849,44.178079,0.048162,27.39,0.114119,-0.028097,0.093864,0.486394,0.663597,0,0,0.009
0.770702,0.150815,0.704378,2.417999,1.598247,-0.293701,22.18,0.031043,-1.413163,1.321918,1.933086,-3.536195,1,2,2.556
0.886119,0.856099,1.006578,100.830221,3.866383,-0.273201,28.82,0.110503,-0.262585,0.340179,0.790239,0.455341,1,1,2.506
0.817145,0.599533,0.805122,3.30529,1.94185,0.471795,14.79,-0.802194,-0.395522,0.452594,1.197302,0.668115,1,3,2.405
0.545934,0.389315,0.554508,1.757112,1.502106,0.394788,31.2,0.052491,0.095109,0.406916,0.678785,1.622768,1,1,2.474
0.327679,0.066305,0.381109,1.510469,1.092146,-0.203923,46.44,0.125817,0.557404,0.929014,1.31055,3.890955,1,4,2.609
