本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
1,1,0.118029,0.000908,0.125084,15.157159,1.36106,-0.060119,13.53,1.068506,-0.263281,0.089555,0.205052,3.22282,3.692
1,4,0.633121,0.553109,0.673996,4.351897,1.850467,-0.331002,11.91,0.082991,0.076166,0.25908,0.385592,1.317754,1.878
1,8,0.620116,0.214507,0.523991,2.538087,2.916585,0.974183,21.51,0.075954,-0.374987,0.244074,0.268854,-0.075941,3.553
0,0,0.652011,0.445027,0.830975,3.615562,2.378638,-0.548697,21.75,0.001365,0.232515,1.325528,1.653038,3.396757,3.727
1,1,0.806291,0.404222,0.785444,9.354863,1.397549,-0.320615,34.36,0.145693,0.136057,0.55684,0.644959,1.612735,4.064
1,2,0.176595,0.068092,0.178824,2.804383,1.021336,0.474163,32.52,0.625714,0.512341,0.307972,2.121327,8.065813,3.158
0,0,0.754666,0.180583,0.696383,9.810334,1.374664,0.318535,15.13,0.031994,0.087207,0.629829,0.706062,2.180229,4.158
1,3,0.06498,0.076963,0.252621,2.441013,0.84781,-2.412755,21.42,0.397864,0.096276,0.261675,0.463607,3.855167,4.622
1,1,0.842186,0.395202,0.819787,1.851792,3.448649,-1.873688,47.37,0.070012,0.074648,0.198401,0.229261,0.909634,4.139
1,1,0.640241,0.069435,0.791623,5.632916,0.935062,1.420961,43.17,0.099633,0.173173,0.848703,1.052909,2.225919,3.524
1,2,0.610299,0.33762,0.405412,12.485958,2.953383,-0.162405,26.43,0.082228,-0.550741,0.14728,0.369428,0.830746,3.661
1,1,0.688177,0.155138,0.632823,4.231372,1.244529,-1.061088,39.18,0.041562,0.011818,0.935075,1.272563,1.996589,3.436
0,0,0.790373,0.216705,0.69057,2.994401,1.203762,-0.523641,45.96,0.05487,0.020035,0.808039,0.997476,1.353709,3.438
1,1,0.455037,0.358277,0.407586,2.517312,1.466806,0.120391,38.63,0.090126,0.233574,0.225879,0.704666,2.14299,3.98
1,3,0.68845,0.63746,0.954199,5.172818,1.629416,-2.071209,37.08,0.028976,0.141805,0.277703,0.747365,1.76803,3.467
1,5,0.809945,0.001284,0.802852,2.329846,1.1061995,-0.943269,32.89,0.099633,0.070649,0.030785,0.902804,3.22282,1.758
0,0,0.730814,0.512151,0.73556,1.169371,1.327523,0.633141,30.09,0.20551,0.151656,0.203803,0.304183,1.306544,1.254
1,4,0.589444,0.238908,0.585202,14.463353,1.359422,-0.142315,27.49,0.144817,0.127774,0.518998,0.994389,6.887728,3.496
0,0,0.465132,0.249346,0.452228,4.556431,1.152234,-0.226997,9.33,-0.09101,0.053319,0.758747,2.195792,2.358185,3.86
1,4,0.156207,0.081648,0.115685,5.565606,1.110882,-0.279405,43.08,0.099633,0.4423,0.409727,0.875111,5.967511,4.761
1,6,0.818473,0.793418,1.018808,7.157245,1.1061995,-0.082969,16.52,-0.100876,0.176063,0.23944,0.655549,0.031176,4.315
1,1,0.952312,0.75746,1.021407,21.824037,29.084735,0.050082,30.13,-0.249838,-0.058877,0.195661,0.245225,0.388139,4.603
0,0,0.427832,0.405444,0.436944,1.825832,1.160786,0.201974,24.55,0.897926,0.247827,0.186951,1.247758,1.554603,2.443
0,0,0.331729,0.6528,1.370324,5.819814,1.421884,-0.10936,27.83,0.199245,0.123749,0.235274,2.212581,2.077322,2.468
1,2,0.713381,0.579076,0.747566,1.026663,1.546872,-0.859685,15.13,0.137125,0.094662,0.279029,0.596394,0.786175,1.933
1,1,0.769372,0.253168,0.763772,4.081365,1.524927,-0.366125,60.66,0.07845,0.157355,0.702609,0.853889,1.459387,3.884
0,0,0.601671,0.238739,0.752992,2.095258,1.008143,-0.373682,21.55,0.083081,0.282724,1.00567,3.666745,2.008769,3.71
1,3,0.572467,0.005148,0.941391,58.291883,1.151514,-0.054655,42.06,0.180269,-0.029099,1.301733,2.04818,2.153666,4.668
1,5,0.57663,0.177912,0.596217,6.611818,1.1061995,-0.031636,25.08,-0.037129,0.013152,0.301911,0.515451,2.650502,4.308
0,0,0.888114,0.07299,0.944979,191.378509,1.365746,-0.03191,24.13,-0.331363,-3.248192,7.353414,9.485865,3.22282,2.968
0,0,0.416092,0.116351,0.362179,7.417023,1.130583,-0.088726,13.05,0.049567,0.143809,1.151505,3.688557,6.035016,4.089
1,11,0.707074,0.291336,0.645193,6.589813,1.1061995,-0.026811,11.27,-0.296762,-0.095958,0.73465,0.835526,3.22282,4.423
0,0,0.678841,0.250907,0.574793,4.073371,1.060923,0.120134,47.93,0.171882,0.206581,0.323164,0.353513,2.020267,3.352
1,3,0.274877,0.049456,0.464382,13.112684,1.039867,-0.030237,14,0.083398,-0.469467,0.371451,0.449547,16.943957,3.879
1,5,0.226262,0.074756,0.255451,3.208198,14.702387,-0.297407,23.3,0.038655,0.259305,0.490857,0.774146,2.990808,3.817
1,2,0.548565,0.360912,0.609453,2.249733,1.168545,0.02653,51.75,0.088052,0.143254,0.406151,0.843181,1.77617,3.625
1,1,0.579048,0.312225,0.55873,1.112776,1.091235,0.318889,34.98,0.030191,0.209494,0.520094,0.786613,1.543696,4.097
0,0,0.500873,0.145069,0.491089,4.967959,1.141062,-0.095283,17.37,0.068499,0.195018,1.893551,2.408793,4.596282,4.271
0,0,0.824242,0.577659,0.804342,1.950604,1.434095,-0.602902,44.89,0.200676,0.071546,0.145554,0.265306,3.22282,3.661
0,0,0.299799,0.078809,0.402179,1.361947,1.003771,0.22964,46.42,0.110715,0.244355,0.40569,0.841629,2.349783,4.025
1,3,0.537705,0.225293,0.629046,4.126085,2.595666,-1.12835,40.43,0.041906,0.152122,0.763733,1.079079,2.415838,4.162
1,4,0.202265,0.056787,0.245471,2.817737,1.136406,0.029473,29.47,0.112066,-0.20001,0.130779,0.785144,1.5638,4.324
0,0,0.457423,0.243053,0.449322,7.470419,1.796719,-0.030254,47.7,0.019944,-0.014082,0.518886,1.519518,4.013735,4.149
0,0,0.43963,0.256989,0.439981,1.753162,1.186692,-0.041038,15.31,0.059551,-0.007867,0.496022,0.909887,1.122852,3.537
1,5,0.518631,0.316256,0.476318,3.282291,1.379711,-0.474071,27.87,0.147665,0.062348,0.172984,0.31405,2.213777,3.36
1,1,0.442046,0.215404,0.392735,2.888715,1.856705,0.55226,10.99,-0.012383,0.13985,0.309547,1.145433,1.683957,4.332
0,0,0.15271,0.179624,0.253198,5.828395,1.1061995,0.215026,41.55,0.259264,-0.227872,0.392642,0.874398,23.406295,2.381
1,1,1.63559,0.275878,0.521066,35.658965,1.1061995,0.038937,29.43,-1.040035,-6.287796,0.107714,0.209382,3.22282,3.573
1,2,0.531551,0.132523,0.525338,16.106946,4.931859,-0.288827,20.68,0.011951,-0.034021,0.696178,0.82551,8.073518,5.166
1,2,0.725332,0.677375,0.83161,1.880336,1.327687,-2.329806,37.04,0.150058,0.070629,0.324243,0.716986,0.70808,5.288
0,0,0.332371,0.388428,0.741425,16.901316,0.925154,-0.359798,29,0.224254,-0.109456,0.393184,0.65773,8.008954,3.894
1,3,0.611733,0.490463,0.628473,1.716543,2.911035,-0.255794,31.27,0.219599,0.075746,0.164978,0.767214,0.801186,3.225
1,3,0.590115,0.242769,0.539054,9.281946,1.128656,-0.047312,53.05,-0.158626,-0.267267,0.231867,0.479901,1.354249,4.656
0,0,0.759463,0.575926,0.815216,2.653747,3.222567,0.145832,21.05,0.00971,0.016979,0.535857,1.018962,1.003685,3.528
1,1,0.482853,0.412013,0.489729,2.063737,1.229342,0.004128,15.09,0.211432,0.195375,0.392085,2.816369,1.854179,2.905
1,1,0.490094,0.510618,0.625775,2.108793,55.903199,0.375778,29.12,-0.385479,0.215131,0.074067,0.268142,1.601581,4.5
1,3,0.598095,0,0.489217,16.702127,1.1061995,-0.14091,12.43,0.33169,0.176063,0.021323,1.278307,0.469777,4.1
0,0,0.118116,0.017816,0.365427,49.300753,1.00145,-0.017816,17.55,-0.083617,0.176063,0.319054,2.018807,152.760706,3.951
1,1,0.572248,0.509184,0.555398,1.780737,1.861658,0.089128,19.98,-1.339479,0.22872,0.009503,0.013368,1.470332,4.669
0,0,0.252183,0.252333,0.340266,1.734293,1.1061995,-0.055661,30.63,0.030616,0.466351,0.877541,1.671761,3.961507,3.184
0,0,0.840289,0.58665,0.868308,0.652962,2.10039,-3.053195,59.79,0.109224,0.075443,0.14507,0.204596,0.800677,2.504
0,0,0.496649,0.124816,0.536003,18.645546,0.961915,0.084985,17.99,0.615703,-1.097169,0.148495,0.15703,5.038408,5.604
0,0,0.13317,0.008852,0.132257,2.689578,0.980822,0.443494,51.25,0.130353,0.232305,0.570585,1.430276,7.102639,4.426
