本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
1,3,0.425337,0.168175,0.522622,2.711968,1.189785,0.179941,17.41,0.313465,0.001817,0.182268,0.345912,2.078527,4.008
1,4,0.601261,0.377131,0.487757,12.583882,1.000403,0.01176,21.65,-4.345959,-0.480937,0.078736,0.107315,5.934566,2.701
0,0,0.645559,0.435974,0.694248,2.726596,1.502948,-0.027038,11.91,0.114482,0.08335,0.395525,0.606668,1.47006,1.789
1,3,0.824373,0.081969,0.807888,6.77684,2.432949,-0.074616,14.57,-1.080299,-0.430816,0.441105,0.529923,0.372806,3.253
0,0,0.817616,0,0.781232,212.794296,0.976215,-0.011074,11.52,-0.024545,-18.683175,1.211834,1.349199,3.887065,3.034
0,0,0.767842,0.160493,0.76523,4.877176,1.159954,-0.565616,27.39,0.063704,0.092116,0.726574,0.861501,1.68391,4.018
0,0,0.534994,0.139269,0.472933,1.66498,0.996848,-0.430162,33.21,0.722899,0.26618,0.260964,0.324603,2.070684,1.847
1,4,0.055956,0.00877,0.141401,2.602579,-0.287562,-0.348123,21.42,-0.99184,-0.713569,0.628983,0.96983,10.585671,4.432
1,3,0.813872,0.472115,0.83836,1.681353,1.228864,1.264593,68.49,0.243195,0.045728,0.017009,0.022051,0.512984,2.385
1,5,0.632612,0.049038,0.783042,7.053126,0.983857,2.109509,41.65,0.250027,0.261541,0.760001,0.927426,3.400964,4.632
0,0,0.53991,0.303418,0.53789,1.549994,1.268577,-0.490017,10.22,1.035528,0.356943,0.264359,0.639098,1.458885,3.329
1,1,0.554071,0.496432,0.556216,1.268375,1.881386,0.118674,21.73,0.173444,0.182025,0.076179,0.548897,0.823979,3.87
1,1,0.5931,0.259895,0.680996,3.873871,1.521844,-0.355362,36.17,0.062685,0.08839,0.610507,0.87961,2.365276,2.682
1,1,0.809302,0.316809,0.896621,1.889128,1.757717,-0.018426,44.03,0.027348,0.029929,1.00788,1.200266,1.46439,3.768
0,0,0.612465,0.380077,0.704141,1.769623,1.253821,-0.324893,9.03,0.045839,0.081007,0.454567,1.556064,1.047148,2.474
1,4,0.846754,0.495685,0.998449,3.140708,1.386586,-0.179225,37.04,0.067532,-0.067495,0.301121,0.759751,-0.409363,4.259
0,0,0.644,0.220514,0.763342,3.590939,0.937678,-0.776807,31.73,0.114799,0.262162,0.921381,1.353103,3.057103,3.222
1,1,0.552642,0.35701,0.71822,1.800944,1.25326,-0.037572,9.99,0.046829,0.079508,0.821635,2.578272,1.465068,3.326
1,5,0.180113,0.059414,0.213397,3.012964,1.07222,0.028643,43.08,0.627045,0.47533,0.209317,0.747028,2.333823,5.158
1,6,0.666963,0.332003,0.686707,3.169615,1.1396405,-0.004926,16.71,0.051199,0.182352,0.578695,1.084539,0.013395,3.759
1,3,0.848012,0.750423,1.063675,2.6482125,1.321696,0.043052,29.99,-0.273838,-0.698425,0.138952,0.226173,-0.851724,3.934
1,3,0.534897,0.363865,0.56233,1.050313,1.343376,0.089372,15.97,0.113305,0.0451,0.258687,0.432968,0.790829,4.291
0,0,0.794467,0.801303,0.821352,0.788083,2.115062,0.332778,30.31,0.106068,0.046554,0.146129,2.337121,0.355806,5.416
0,0,0.026555,0.004452,0.023874,3.167819,1.008527,0.008312,22.56,0.916191,0.341731,0.007393,0.010156,72.778012,3.23
1,4,0.951315,0.693178,0.941859,3.624319,32.103625,0.214222,17.08,0.055787,-0.121037,0.633943,2.412144,0.248822,5.462
1,1,0.420149,0.507902,0.732911,2.297315,1.1396405,0.001398,30.27,-0.039797,0.122069,0.094252,1.122168,1.211129,4.778
0,0,0.596956,0.293509,0.901373,1.080058,1.003824,-0.220853,21.55,0.089789,0.303533,0.752532,2.658297,1.519752,3.453
1,2,0.149953,0.001033,0.137702,8.318789,-3.307335,0.034119,22.65,1.796239,-0.041317,0.066102,0.116042,21.549927,4.278
1,8,0.582766,0.2095,0.612854,3.122963,2.157517,-0.010575,25.08,0.174895,0.021927,0.196572,0.508501,1.287438,5.059
1,3,0.791522,0.205489,0.739214,1.877139,3.397335,0.000365,31.04,-0.036729,-0.00114,0.797345,0.929931,1.424235,4.556
1,3,0.670422,0.416637,0.713032,1.86528,1.372036,-0.030797,45.84,0.137754,0.118452,0.335287,0.609724,0.785231,4.563
1,1,0.630724,0.330861,0.704239,4.06168,1.1396405,0.028352,17.37,-0.173327,-0.050665,0.579794,0.76136,1.603817,4.476
0,0,0.661928,0.483012,0.609343,1.320841,1.1396405,-0.131265,25.37,-1.132366,-0.443035,0.100804,0.387025,-0.892885,3.159
1,2,0.826794,0.35499,0.857618,1.804151,1.382949,-0.076358,46.17,0.15218,0.080978,0.10496,0.171987,0.459977,4.271
0,0,0.265587,0.001398,0.28095,1.573357,0.827764,0.023819,32.31,0.292562,0.320212,0.126318,0.235537,3.069689,3.81
1,3,0.505153,0.194068,0.634877,2.573067,1.78594,-0.578678,40.14,0.009917,0.177939,0.943332,1.304537,3.161303,3.365
1,2,0.468859,0.353554,0.536782,4.743592,3.536516,-0.065948,29.9,-0.114245,-0.029352,0.056961,0.149957,2.490542,4.98
1,5,0.418681,0.277681,0.450985,0.703426,1.1396405,0.26672,15.31,0.0879,-0.019317,0.109813,0.197092,0.45113,3.875
0,0,0.263261,0.213351,0.27792,2.345451,1.142434,-0.044011,40.55,0.092154,0.416259,0.307402,0.665711,4.881759,4.696
1,10,0.639424,0.240767,0.593247,2.195283,1.1396405,-0.034334,10.99,-0.694121,-0.209148,0.416831,1.188929,0.090907,3.279
1,1,0.277351,0.390434,0.576148,4.068234,1.063379,-0.42217,41.55,0.310202,-0.050075,0.311896,0.912422,5.184009,2.351
1,6,0.570667,0.185435,0.57006,8.794012,2.56081,-0.025145,20.68,0.00519,-0.021738,0.694616,0.804578,4.40939,5.529
1,4,0.994873,0.625895,0.905448,1.159687,2.278547,-0.296027,37.04,-0.482826,-0.294907,0.189878,0.319382,-1.117718,5.163
0,0,0.158587,0.101975,0.19554,2.375839,1.1396405,0.014639,25.4,0.083265,-0.033126,0.227333,0.282129,5.927148,5.808
0,0,0.400636,0.872809,1.101012,2.122685,1.00658,0.005714,16.78,0.228576,-0.376872,0.724652,2.613314,1.030947,3.04
1,1,0.392218,0.339693,0.435259,1.771849,1.1396405,0.001415,29.12,0.426194,0.251911,0.041986,0.252214,1.436354,4.075
0,0,0.627477,0.236908,1.748775,3.77596,2.310742,-0.001224,11.84,-3.418735,0.182352,0.027294,1.015443,-0.187929,4.646
1,2,0.103227,0.022247,0.143415,34.684612,1.004814,0.003367,17.55,0.008832,0.182352,0.296333,2.32929,136.411254,4.156
1,1,0.280011,0.224429,0.292376,1.156726,1.1396405,0.021957,19.98,1.187737,0.446463,0.035219,0.068982,2.413729,4.267
1,1,0.582253,0.154891,0.664463,1.800684,1.140596,-1.006089,38.59,0.003701,0.140351,9.886749,10.783413,11.275313,4.11
0,0,0.604033,0.080293,0.653117,3.037787,0.996522,0.944243,18.22,0.192954,0.34383,0.700256,0.928709,3.054972,0.855
1,7,0.765554,0.531887,0.752584,3.082702,1.1396405,-0.019634,19.27,-1.350098,-0.52384,0.272444,0.525632,-0.600231,3.16
1,2,0.381795,0.231862,0.441462,1.150622,1.208653,-4.444229,31.13,0.326904,0.159343,0.131211,0.179198,1.416969,4.131
1,1,0.594564,0.324689,0.625101,2.026579,1.085844,-0.780453,40.53,0.110071,0.230183,0.154361,0.179065,1.765015,4.253
0,0,1.545358,0,0.24899,9.883518,1.1396405,-0.067559,14.7,-1.120963,-10.387168,0.071003,0.182992,-19.033495,4.436
1,1,0.834503,0.443189,0.840324,1.453191,1.157774,-1.649171,18.31,0.127917,0.042785,0.198501,0.224035,0.79369,2.988
1,3,1.060076,0.365002,0.721147,7.827526,1.1396405,0.010968,22.18,-2.610786,-1.599983,0.328943,0.434423,-1.768845,6.146
0,0,0.28118,0.100682,0.457556,1.793385,1.019844,-0.116095,35.85,0.104644,0.191865,1.172209,2.168893,3.377791,3.852
1,6,1.227273,0.371115,0.982869,7.287638,1.1396405,-0.036461,29.46,-0.359437,-1.25004,0.151694,0.196059,-3.386167,4.857
1,1,0.200244,0.01329,0.087051,5.7275,0.992241,0.10783,40.99,0.600352,0.473749,0.382882,1.572462,18.884748,2.937
1,1,0.499557,0.528607,0.591704,1.957093,1.249329,-0.012877,16,0.287572,0.232641,0.296364,1.187928,1.703203,2.353
1,2,0.696701,0.465821,0.700329,1.348065,1.452204,-0.286485,35.78,0.023281,0.17014,0.69969,1.535186,1.263057,3.034
0,0,0.23521,0.06409,0.161721,7.327967,0.995148,-0.631155,13.89,0.406837,0.304351,0.527112,0.873176,6.284778,3.295
1,1,0.564838,0.371606,0.691738,1.443309,4.208074,-0.190603,16.68,0.093239,-0.04551,0.156905,0.253626,0.36716,4.826
1,2,0.464141,0.407976,0.578303,1.4647,2.142621,-0.178021,30.63,0.0099,0.079112,0.844613,2.051568,1.805517,3.151
0,0,0.701253,0.011336,0.716362,1.403587,1.1396405,1.707732,21.43,0.091582,0.070961,0.030174,0.9501765,2.864557,0.954
0,0,0.84952,0.528417,0.851008,1.101938,1.140461,10.221014,48.97,0.216849,0.041643,0.105304,0.134048,0.385336,3.722
1,3,0.747243,0.526776,0.862018,6.393161,2.494811,-0.102617,25.69,0.20237,-0.766235,0.771182,1.727035,0.253494,4.185
