本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
1,2,0.311863,0.000124,0.047301,8.828695,2.204666,-0.060641,41.55,-0.740058,-0.106617,0.245675,0.686601,3.566965,2.813
1,2,0.564357,0.166564,0.540163,11.854561,1.148064,-0.065849,20.68,-0.001305,-0.036657,0.711899,0.843073,5.020638,5.702
1,4,0.78634,0.472502,0.813327,1.584222,1.118739,-0.827659,37.04,0.111416,-0.009628,0.337423,0.651702,0.031033,4.878
0,0,0.674157,0.415539,0.686624,0.974204,6.990197,0.36019,25.33,-0.051301,0.069981,0.65119,1.286547,0.928566,3.923
1,2,0.623772,0.517948,0.612946,1.166286,2.190218,0.138738,31.27,0.202178,0.088612,0.147196,0.615683,0.628012,3.577
1,1,0.693411,0.53806,0.826451,1.93263,1.646414,-0.298093,26.02,0.024474,0.032005,0.637146,1.334903,1.026232,3.568
1,1,0.519525,0.431365,0.510457,1.636217,1.292163,-0.013453,15.09,0.181616,0.185262,0.342184,1.945061,1.165655,2.904
1,2,0.118013,0.022518,0.149054,48.924785,1.003697,0.005073,17.55,0.086329,0.1786995,0.334655,1.611408,147.359709,4.399
1,1,0.27457,0.523085,0.574449,0.869365,1.215229,0.00154,19.98,-0.296883,0.404687,0.040812,0.063739,2.607672,5.556
1,1,0.813805,0.539173,0.866778,0.50609,2.874599,-3.053617,61.17,0.15047,0.090613,0.261203,0.422564,0.779584,2.115
1,1,0.402865,0.08972,0.487443,10.089625,0.685985,-0.032893,17.99,-0.404381,-1.259762,0.571413,0.601529,13.531408,4.771
0,0,0.612464,0.255764,0.656825,2.816134,1.148064,-1.319441,38.09,-0.0043,0.113949,9.491547,10.053453,10.651856,4.708
1,1,0.433104,0.399684,0.477178,1.691978,1.148064,-0.138185,29.13,0.451335,0.234111,0.043876,0.231381,1.289426,4.232
1,5,0.443943,0.337644,0.541142,0.87764,29.911385,-0.119622,16.02,-0.177881,-0.085683,0.383201,1.216443,-0.654055,5.398
1,2,0.46119,0.100267,0.440367,2.882944,1.144404,-0.12696,31.16,0.109083,0.14858,0.522301,0.776082,2.716142,3.925
1,1,0.546257,0.274523,0.536212,7.431453,1.251272,-1.888599,16.62,0.199617,0.33415,0.582184,0.86513,3.424151,1.745
1,1,0.282503,0.154171,0.264577,2.827443,1.379277,-0.046096,17.59,0.03073,0.265821,0.605771,1.037418,3.529107,3.319
0,0,0.057358,0,0.054651,8.571082,3.610475,-0.040671,21.51,0.02846,-1.717695,0.73264,0.873198,30.273795,3.003
1,4,2.302393,0.20874,0.489194,3.595005,1.148064,-0.068186,60.78,-0.248365,-4.846416,1.332655,4.560927,-11.760644,4.191
1,4,0.48095,0.259404,0.497735,2.80224,1.148064,0.020762,17.45,-0.07292,-0.359849,0.847357,1.313582,2.004589,4.928
1,1,0.797246,0.45418,0.793909,2.128262,1.881273,0.819691,18.06,0.030474,0.1786995,0.902216,1.351328,1.436226,2.854
0,0,0.845045,0.76555,0.857379,20.40477,7.593958,-0.213718,20,-0.230378,-0.257787,0.106183,0.864245,0.14766,4.186
1,5,0.215138,0.060486,0.2506,2.825171,1.068123,0.184924,20.03,0.131487,0.286604,0.650288,1.338764,5.700257,1.929
